,ind,cycle,start M,0,1,21,22,212,223,50,100
45021,21,10,0,0.99907671,0.00065,0,0,0,0,0,0.00027329
22,22,1,0,0.99907462,0.00065,0,0,0,0,0,0.00027538
5022,22,2,0,0.999074853,0.00065,0,0,0,0,0,0.000275147
10022,22,3,0,0.999075086,0.00065,0,0,0,0,0,0.000274914
15022,22,4,0,0.999075319,0.00065,0,0,0,0,0,0.000274681
20022,22,5,0,0.999075551,0.00065,0,0,0,0,0,0.000274449
25022,22,6,0,0.999075783,0.00065,0,0,0,0,0,0.000274217
30022,22,7,0,0.999076015,0.00065,0,0,0,0,0,0.000273985
35022,22,8,0,0.999076247,0.00065,0,0,0,0,0,0.000273753
40022,22,9,0,0.999076479,0.00065,0,0,0,0,0,0.000273521
45022,22,10,0,0.99907671,0.00065,0,0,0,0,0,0.00027329
23,23,1,0,0.99907462,0.00065,0,0,0,0,0,0.00027538
5023,23,2,0,0.999074853,0.00065,0,0,0,0,0,0.000275147
10023,23,3,0,0.999075086,0.00065,0,0,0,0,0,0.000274914
15023,23,4,0,0.999075319,0.00065,0,0,0,0,0,0.000274681
20023,23,5,0,0.999075551,0.00065,0,0,0,0,0,0.000274449
25023,23,6,0,0.999075783,0.00065,0,0,0,0,0,0.000274217
30023,23,7,0,0.999076015,0.00065,0,0,0,0,0,0.000273985
35023,23,8,0,0.999076247,0.00065,0,0,0,0,0,0.000273753
40023,23,9,0,0.999076479,0.00065,0,0,0,0,0,0.000273521
45023,23,10,0,0.99907671,0.00065,0,0,0,0,0,0.00027329
24,24,1,0,0.99907462,0.00065,0,0,0,0,0,0.00027538
5024,24,2,0,0.999074853,0.00065,0,0,0,0,0,0.000275147
10024,24,3,0,0.999075086,0.00065,0,0,0,0,0,0.000274914
15024,24,4,0,0.999075319,0.00065,0,0,0,0,0,0.000274681
20024,24,5,0,0.999075551,0.00065,0,0,0,0,0,0.000274449
25024,24,6,0,0.999075783,0.00065,0,0,0,0,0,0.000274217
30024,24,7,0,0.999076015,0.00065,0,0,0,0,0,0.000273985
35024,24,8,0,0.999076247,0.00065,0,0,0,0,0,0.000273753
40024,24,9,0,0.999076479,0.00065,0,0,0,0,0,0.000273521
45024,24,10,0,0.99907671,0.00065,0,0,0,0,0,0.00027329
25,25,1,0,0.99907462,0.00065,0,0,0,0,0,0.00027538
5025,25,2,0,0.999074853,0.00065,0,0,0,0,0,0.000275147
10025,25,3,0,0.999075086,0.00065,0,0,0,0,0,0.000274914
15025,25,4,0,0.999075319,0.00065,0,0,0,0,0,0.000274681
20025,25,5,0,0.999075551,0.00065,0,0,0,0,0,0.000274449
25025,25,6,0,0.999075783,0.00065,0,0,0,0,0,0.000274217
30025,25,7,0,0.999076015,0.00065,0,0,0,0,0,0.000273985
35025,25,8,0,0.999076247,0.00065,0,0,0,0,0,0.000273753
40025,25,9,0,0.999076479,0.00065,0,0,0,0,0,0.000273521
45025,25,10,0,0.99907671,0.00065,0,0,0,0,0,0.00027329
26,26,1,0,0.99907462,0.00065,0,0,0,0,0,0.00027538
5026,26,2,0,0.999074853,0.00065,0,0,0,0,0,0.000275147
10026,26,3,0,0.999075086,0.00065,0,0,0,0,0,0.000274914
15026,26,4,0,0.999075319,0.00065,0,0,0,0,0,0.000274681
20026,26,5,0,0.999075551,0.00065,0,0,0,0,0,0.000274449
25026,26,6,0,0.999075783,0.00065,0,0,0,0,0,0.000274217
30026,26,7,0,0.999076015,0.00065,0,0,0,0,0,0.000273985
35026,26,8,0,0.999076247,0.00065,0,0,0,0,0,0.000273753
40026,26,9,0,0.999076479,0.00065,0,0,0,0,0,0.000273521
45026,26,10,0,0.99907671,0.00065,0,0,0,0,0,0.00027329
27,27,1,0,0.99907462,0.00065,0,0,0,0,0,0.00027538
5027,27,2,0,0.999074853,0.00065,0,0,0,0,0,0.000275147
10027,27,3,0,0.999075086,0.00065,0,0,0,0,0,0.000274914
15027,27,4,0,0.999075319,0.00065,0,0,0,0,0,0.000274681
20027,27,5,0,0.999075551,0.00065,0,0,0,0,0,0.000274449
25027,27,6,0,0.999075783,0.00065,0,0,0,0,0,0.000274217
30027,27,7,0,0.999076015,0.00065,0,0,0,0,0,0.000273985
35027,27,8,0,0.999076247,0.00065,0,0,0,0,0,0.000273753
40027,27,9,0,0.999076479,0.00065,0,0,0,0,0,0.000273521
45027,27,10,0,0.99907671,0.00065,0,0,0,0,0,0.00027329
28,28,1,0,0.99907462,0.00065,0,0,0,0,0,0.00027538
5028,28,2,0,0.999074853,0.00065,0,0,0,0,0,0.000275147
10028,28,3,0,0.999075086,0.00065,0,0,0,0,0,0.000274914
15028,28,4,0,0.999075319,0.00065,0,0,0,0,0,0.000274681
20028,28,5,0,0.999075551,0.00065,0,0,0,0,0,0.000274449
25028,28,6,0,0.999075783,0.00065,0,0,0,0,0,0.000274217
30028,28,7,0,0.999076015,0.00065,0,0,0,0,0,0.000273985
35028,28,8,0,0.999076247,0.00065,0,0,0,0,0,0.000273753
40028,28,9,0,0.999076479,0.00065,0,0,0,0,0,0.000273521
45028,28,10,0,0.99907671,0.00065,0,0,0,0,0,0.00027329
29,29,1,0,0.99907462,0.00065,0,0,0,0,0,0.00027538
5029,29,2,0,0.999074853,0.00065,0,0,0,0,0,0.000275147
10029,29,3,0,0.999075086,0.00065,0,0,0,0,0,0.000274914
15029,29,4,0,0.999075319,0.00065,0,0,0,0,0,0.000274681
20029,29,5,0,0.999075551,0.00065,0,0,0,0,0,0.000274449
25029,29,6,0,0.999075783,0.00065,0,0,0,0,0,0.000274217
30029,29,7,0,0.999076015,0.00065,0,0,0,0,0,0.000273985
35029,29,8,0,0.999076247,0.00065,0,0,0,0,0,0.000273753
40029,29,9,0,0.999076479,0.00065,0,0,0,0,0,0.000273521
45029,29,10,0,0.99907671,0.00065,0,0,0,0,0,0.00027329
30,30,1,0,0.99907462,0.00065,0,0,0,0,0,0.00027538
5030,30,2,0,0.999074853,0.00065,0,0,0,0,0,0.000275147
10030,30,3,0,0.999075086,0.00065,0,0,0,0,0,0.000274914
15030,30,4,0,0.999075319,0.00065,0,0,0,0,0,0.000274681
20030,30,5,0,0.999075551,0.00065,0,0,0,0,0,0.000274449
25030,30,6,0,0.999075783,0.00065,0,0,0,0,0,0.000274217
